title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Harry Potter and the Goblet of Fire,"$895,921,036","$290,013,036",32.4%,"$605,908,000",67.6%,Yes
Star Wars: Episode III - Revenge of the Sith,"$868,352,530","$380,270,577",43.8%,"$488,081,953",56.2%,Yes
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957",39.2%,"$453,302,158",60.8%,Yes
War of the Worlds,"$603,873,119","$234,280,354",38.8%,"$369,592,765",61.2%,Yes
King Kong,"$556,906,378","$218,080,025",39.2%,"$338,826,353",60.8%,Yes
Madagascar,"$542,063,846","$193,595,521",35.7%,"$348,468,325",64.3%,Yes
Mr. & Mrs. Smith,"$487,287,646","$186,336,279",38.2%,"$300,951,367",61.8%,Yes
Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",43.5%,"$268,509,687",56.5%,Yes
Batman Begins,"$373,443,774","$205,343,774",55%,"$168,100,000",45%,Yes
Hitch,"$371,594,210","$179,495,555",48.3%,"$192,098,655",51.7%,Yes
Fantastic Four,"$333,535,934","$154,696,080",46.4%,"$178,839,854",53.6%,Yes
Chicken Little,"$314,432,837","$135,386,665",43.1%,"$179,046,172",56.9%,Yes
Wedding Crashers,"$288,467,645","$209,255,921",72.5%,"$79,211,724",27.5%,Yes
Robots,"$262,511,490","$128,200,012",48.8%,"$134,311,478",51.2%,Yes
Constantine,"$230,884,728","$75,976,178",32.9%,"$154,908,550",67.1%,Yes
Flightplan,"$223,387,299","$89,707,299",40.2%,"$133,680,000",59.8%,Yes
Kingdom of Heaven,"$218,122,627","$47,398,413",21.7%,"$170,724,214",78.3%,Yes
Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,Yes
The Pacifier,"$198,636,868","$113,086,868",56.9%,"$85,550,000",43.1%,Yes
Wallace & Gromit: The Curse of the Were-Rabbit,"$192,614,977","$56,110,897",29.1%,"$136,504,080",70.9%,Yes
The Longest Yard,"$191,466,556","$158,119,460",82.6%,"$33,347,096",17.4%,Yes
Walk the Line,"$186,797,986","$119,519,402",64%,"$67,278,584",36%,Yes
Brokeback Mountain,"$178,062,759","$83,043,761",46.6%,"$95,018,998",53.4%,Yes
The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3%,Yes
The Ring Two,"$163,995,949","$76,231,249",46.5%,"$87,764,700",53.5%,Yes
The Island,"$162,949,164","$35,818,913",22%,"$127,130,251",78%,Yes
The Interpreter,"$162,944,923","$72,708,161",44.6%,"$90,236,762",55.4%,Yes
Memoirs of a Geisha,"$162,242,962","$57,490,508",35.4%,"$104,752,454",64.6%,Yes
Sin City,"$158,733,820","$74,103,820",46.7%,"$84,630,000",53.3%,Yes
Monster-in-Law,"$155,457,327","$82,931,301",53.3%,"$72,526,026",46.7%,Yes
Saw II,"$147,748,505","$87,039,965",58.9%,"$60,708,540",41.1%,Yes
The Exorcism of Emily Rose,"$145,166,804","$75,072,454",51.7%,"$70,094,350",48.3%,Yes
Herbie Fully Loaded,"$144,146,816","$66,023,816",45.8%,"$78,123,000",54.2%,Yes
The Legend of Zorro,"$142,400,065","$46,464,023",32.6%,"$95,936,042",67.4%,Yes
Bewitched,"$131,426,169","$63,313,159",48.2%,"$68,113,010",51.8%,Yes
Munich,"$130,982,129","$47,403,685",36.2%,"$83,578,444",63.8%,Yes
Cheaper by the Dozen 2,"$130,154,568","$82,571,173",63.4%,"$47,583,395",36.6%,Yes
March of the Penguins,"$127,392,693","$77,437,223",60.8%,"$49,955,470",39.2%,Yes
Nanny McPhee,"$123,276,807","$47,144,110",38.2%,"$76,132,697",61.8%,Yes
Hide and Seek,"$123,204,920","$51,100,486",41.5%,"$72,104,434",58.5%,Yes
Pride & Prejudice,"$121,616,555","$38,405,088",31.6%,"$83,211,467",68.4%,Yes
Sahara,"$119,240,351","$68,671,925",57.6%,"$50,568,426",42.4%,Yes
Corpse Bride,"$118,090,836","$53,359,111",45.2%,"$64,731,725",54.8%,Yes
The Dukes of Hazzard,"$111,069,515","$80,270,227",72.3%,"$30,799,288",27.7%,Yes
Hoodwinked!,"$110,013,167","$51,386,611",46.7%,"$58,626,556",53.3%,Yes
Cinderella Man,"$108,539,911","$61,649,911",56.8%,"$46,890,000",43.2%,Yes
The Amityville Horror,"$107,516,369","$65,233,369",60.7%,"$42,283,000",39.3%,Yes
The Brothers Grimm,"$105,316,267","$37,916,267",36%,"$67,400,000",64%,Yes
The Hitchhiker's Guide to the Galaxy,"$104,478,416","$51,085,416",48.9%,"$53,393,000",51.1%,Yes
Guess Who,"$103,121,466","$68,915,888",66.8%,"$34,205,578",33.2%,Yes
Just Like Heaven,"$102,854,431","$48,318,130",47%,"$54,536,301",53%,Yes
Miss Congeniality 2: Armed & Fabulous,"$101,393,569","$48,478,006",47.8%,"$52,915,563",52.2%,Yes
Crash,"$98,410,061","$54,580,300",55.5%,"$43,829,761",44.5%,Yes
Are We There Yet?,"$97,918,663","$82,674,398",84.4%,"$15,244,265",15.6%,Yes
Jarhead,"$97,076,152","$62,658,220",64.5%,"$34,417,932",35.5%,Yes
Red Eye,"$96,258,201","$57,891,803",60.1%,"$38,366,398",39.9%,Yes
Be Cool,"$95,763,716","$56,046,979",58.5%,"$39,716,737",41.5%,Yes
The Skeleton Key,"$93,983,911","$47,907,715",51%,"$46,076,196",49%,Yes
Syriana,"$93,974,620","$50,824,620",54.1%,"$43,150,000",45.9%,Yes
The Family Stone,"$92,884,429","$60,062,868",64.7%,"$32,821,561",35.3%,Yes
Four Brothers,"$92,374,674","$74,494,381",80.6%,"$17,880,293",19.4%,Yes
White Noise,"$91,196,419","$56,386,759",61.8%,"$34,809,660",38.2%,Yes
Racing Stripes,"$90,754,475","$49,772,522",54.8%,"$40,981,953",45.2%,Yes
Transporter 2,"$89,083,229","$43,095,856",48.4%,"$45,987,373",51.6%,Yes
Rumor Has It...,"$88,933,562","$43,000,262",48.4%,"$45,933,300",51.6%,Yes
Sky High,"$86,369,815","$63,946,815",74%,"$22,423,000",26%,Yes
Match Point,"$85,638,656","$23,151,529",27%,"$62,487,127",73%,Yes
In Her Shoes,"$83,697,473","$32,880,591",39.3%,"$50,816,882",60.7%,Yes
The Constant Gardener,"$82,466,670","$33,579,797",40.7%,"$48,886,873",59.3%,Yes
Stealth,"$79,268,322","$32,116,746",40.5%,"$47,151,576",59.5%,Yes
Hostage,"$77,608,617","$34,639,939",44.6%,"$42,968,678",55.4%,Yes
Coach Carter,"$76,669,554","$67,264,877",87.7%,"$9,404,677",12.3%,Yes
The King and the Clown,"$74,466,867",-,-,"$74,466,867",100%,Yes
"Yours, Mine & Ours","$72,662,923","$53,412,862",73.5%,"$19,250,061",26.5%,Yes
Lord of War,"$72,617,068","$24,149,632",33.3%,"$48,467,436",66.7%,Yes
The Adventures of Sharkboy and Lavagirl 3-D,"$71,992,655","$39,177,684",54.4%,"$32,814,971",45.6%,Yes
xXx: State of the Union,"$71,410,636","$26,873,932",37.6%,"$44,536,704",62.4%,Yes
House of Wax,"$68,766,121","$32,064,800",46.6%,"$36,701,321",53.4%,Yes
Prime,"$67,937,494","$22,827,153",33.6%,"$45,110,341",66.4%,Yes
Boogeyman,"$67,192,859","$46,752,382",69.6%,"$20,440,477",30.4%,Yes
Zathura: A Space Adventure,"$65,079,104","$29,258,869",45%,"$35,820,235",55%,Yes
Valiant,"$61,746,888","$19,478,106",31.5%,"$42,268,782",68.5%,Yes
A History of Violence,"$61,385,065","$31,504,633",51.3%,"$29,880,432",48.7%,Yes
Son of the Mask,"$59,981,548","$17,018,422",28.4%,"$42,963,126",71.6%,Yes
Must Love Dogs,"$58,231,520","$43,894,863",75.4%,"$14,336,657",24.6%,Yes
Doom,"$58,072,119","$28,212,337",48.6%,"$29,859,782",51.4%,Yes
Derailed,"$57,479,076","$36,024,076",62.7%,"$21,455,000",37.3%,Yes
The Descent,"$57,051,053","$26,024,456",45.6%,"$31,026,597",54.4%,Yes
Elektra,"$56,995,646","$24,409,722",42.8%,"$32,585,924",57.2%,Yes
Kicking & Screaming,"$56,070,433","$52,842,724",94.2%,"$3,227,709",5.8%,Yes
"Good Night, and Good Luck.","$54,641,191","$31,558,003",57.8%,"$23,083,188",42.2%,Yes
Æon Flux,"$53,321,673","$25,874,337",48.5%,"$27,447,336",51.5%,Yes
Pooh's Heffalump Movie,"$52,858,433","$18,098,433",34.2%,"$34,760,000",65.8%,Yes
Elizabethtown,"$52,164,016","$26,850,426",51.5%,"$25,313,590",48.5%,Yes
Just Friends,"$50,912,434","$32,619,671",64.1%,"$18,292,763",35.9%,Yes
Unleashed,"$50,871,113","$24,537,621",48.2%,"$26,333,492",51.8%,Yes
