rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Bad Boys for Life,,"$204,417,855","3,775","$206,305,244",Jan 17,Sony Pictures Releasing
2,1917,,"$157,901,466","3,987","$159,227,644",Dec 25,Universal Pictures
3,Sonic the Hedgehog,,"$146,066,470","4,198","$148,974,665",Feb 14,Paramount Pictures
4,Jumanji: The Next Level,,"$124,736,710","4,227","$320,314,960",Dec 13,Sony Pictures Releasing
5,Star Wars: Episode IX - The Rise of Skywalker,,"$124,496,308","4,406","$515,202,542",Dec 20,Walt Disney Studios Motion Pictures
6,Birds of Prey,,"$84,158,461","4,236","$84,158,461",Feb 7,Warner Bros.
7,Dolittle,,"$77,047,065","4,155","$77,047,065",Jan 17,Universal Pictures
8,Little Women,,"$70,508,087","3,308","$108,101,214",Dec 25,Sony Pictures Releasing
9,The Invisible Man,,"$64,914,050","3,636","$70,410,000",Feb 28,Universal Pictures
10,The Call of the Wild,,"$62,342,368","3,914","$62,342,368",Feb 21,20th Century Studios
11,Onward,,"$61,555,145","4,310","$61,555,145",Mar 6,Walt Disney Studios Motion Pictures
12,Tenet,,"$57,235,189","2,930","$58,504,105",Sep 3,Warner Bros.
13,Knives Out,,"$49,651,655","3,461","$165,363,234",Nov 27,Lionsgate Films
14,Frozen II,,"$47,228,896","4,440","$477,373,578",Nov 22,Walt Disney Studios Motion Pictures
15,Spies in Disguise,,"$37,433,325","3,502","$66,757,013",Dec 25,Twentieth Century Fox
16,The Gentlemen,,"$36,471,397","2,675","$36,471,795",Jan 24,STX Entertainment
17,Just Mercy,,"$35,733,621","2,457","$36,001,502",Dec 25,Warner Bros.
18,The Croods: A New Age,,"$32,334,280","2,211","$58,568,815",Nov 25,Universal Pictures
19,Parasite,,"$30,736,060","2,001","$53,369,749",Oct 11,Neon
20,Fantasy Island,,"$26,441,782","2,784","$27,309,289",Feb 14,Sony Pictures Releasing
21,Uncut Gems,,"$25,789,956","2,686","$50,023,780",Dec 13,A24
22,The New Mutants,,"$24,044,274","2,754","$23,852,659",Aug 28,20th Century Studios
23,Wonder Woman 1984,,"$23,009,311","2,218","$46,801,036",Dec 25,Warner Bros.
24,Like a Boss,,"$22,169,514","3,081","$22,169,514",Jan 10,Paramount Pictures
25,The Grudge,,"$21,221,803","2,642","$21,221,803",Jan 3,Sony Pictures Releasing
26,Unhinged,,"$20,831,465","2,402","$20,831,465",Aug 14,Solstice Studios
27,The Photograph,,"$20,578,185","2,516","$20,578,185",Feb 14,Universal Pictures
28,The War with Grandpa,,"$18,702,194","2,365","$21,277,892",Oct 9,101 Studios
29,Underwater,,"$17,291,078","2,791","$17,291,078",Jan 10,Twentieth Century Fox
30,The Turning,,"$15,472,775","2,571","$15,472,775",Jan 24,Universal Pictures
31,Gretel & Hansel,,"$15,347,654","3,007","$15,347,654",Jan 31,United Artists Releasing
32,Honest Thief,,"$14,163,574","2,502","$14,163,574",Oct 9,Open Road Films (II)
33,My Hero Academia: Heroes Rising,,"$13,651,826","1,231","$13,304,000",Feb 26,FUNimation Entertainment
34,Bombshell,,"$13,644,923","1,721","$31,762,808",Dec 13,Lionsgate Films
35,The Way Back,,"$13,590,514","2,718","$13,590,514",-,Warner Bros.
36,Brahms: The Boy II,,"$12,611,536","2,151","$12,611,536",Feb 21,STX Entertainment
37,Jojo Rabbit,,"$12,311,180","1,173","$33,370,906",Oct 18,-
38,Impractical Jokers: The Movie,,"$10,466,091","1,900","$10,691,091",Feb 21,truTV
39,Ford v Ferrari,,"$10,427,913","3,746","$117,624,357",Nov 15,Twentieth Century Fox
40,Emma.,,"$10,055,355","1,732","$10,055,355",Feb 21,Focus Features
41,Bloodshot,,"$10,021,787","2,861","$12,561,824",Mar 13,Sony Pictures Releasing
42,I Still Believe,,"$9,868,521","3,250","$9,868,521",Mar 13,Lionsgate Films
43,Come Play,,"$9,505,540","2,183","$10,475,990",Oct 30,Focus Features
44,Let Him Go,,"$9,347,940","2,458","$9,358,025",Nov 6,Focus Features
45,Freaky,,"$8,702,060","2,472","$9,030,855",Nov 13,Universal Pictures
46,Downhill,,"$8,287,061","2,311","$8,287,061",Feb 14,Searchlight Pictures
47,Weathering with You,,"$7,798,743","1,020","$8,056,636",Jan 15,GKIDS
48,Cats,,"$7,196,675","3,380","$27,166,770",Dec 20,Universal Pictures
49,The Hunt,,"$5,812,500","3,028","$5,812,500",Mar 13,Universal Pictures
50,The Rhythm Section,,"$5,437,971","3,049","$5,437,971",Jan 31,Paramount Pictures
51,Monster Hunter,,"$5,018,403","1,817","$15,162,470",Dec 18,Screen Gems
52,A Beautiful Day in the Neighborhood,,"$4,997,062","3,491","$61,704,055",Nov 22,Sony Pictures Releasing
53,Hocus Pocus,2020 Re-release,"$4,828,000","2,570","$4,828,000",Oct 2,Walt Disney Studios Motion Pictures
54,Richard Jewell,,"$4,523,325","2,502","$22,345,542",Dec 13,Warner Bros.
55,The SpongeBob Movie: Sponge on the Run,,"$4,386,619",326,"$4,810,790",Aug 14,Paramount Pictures
56,The Broken Hearts Gallery,,"$4,067,442","2,221","$4,067,442",Sep 11,TriStar Pictures
57,Infidel,,"$4,051,990","1,885","$4,051,990",Sep 18,Cloudburst Entertainment
58,News of the World,,"$3,717,170","1,986","$12,668,325",Dec 25,Universal Pictures
59,Portrait of a Lady on Fire,,"$3,641,251",334,"$3,759,854",Dec 6,Neon
60,Bill & Ted Face the Music,,"$3,498,714","1,007","$3,439,660",Aug 28,United Artists Releasing
61,2020 Oscar Nominated Short Films,,"$3,306,611",536,"$3,306,611",Jan 31,Magnolia Pictures
62,Queen & Slim,,"$3,089,365","1,715","$43,808,310",Nov 27,Universal Pictures
63,The Empty Man,,"$2,992,498","2,051","$2,992,948",Oct 23,20th Century Studios
64,My Boyfriend's Meds,,"$2,971,116",350,"$2,971,116",Feb 21,Pantelion Films
65,The Last Full Measure,,"$2,949,212",617,"$2,949,212",Jan 24,Roadside Attractions
66,Words on Bathroom Walls,,"$2,542,518","1,395","$2,542,518",Aug 21,Roadside Attractions
67,Star Wars: Episode V - The Empire Strikes Back,2020 Re-release,"$2,482,000","2,097","$2,482,000",Jul 10,Walt Disney Studios Motion Pictures
68,Fatale,,"$2,388,133","1,222","$6,306,897",Dec 18,Lionsgate Films
69,The Nightmare Before Christmas,2020 Re-release,"$2,286,000","2,194","$2,286,000",Oct 16,Walt Disney Studios Motion Pictures
70,Ip Man 4: The Finale,,"$2,180,071",125,"$3,956,031",Dec 25,Well Go USA Entertainment
71,Half Brothers,,"$2,016,150","1,386","$2,241,980",Dec 4,Focus Features
72,Elf,2020 Re-release,"$1,975,000",850,"$2,182,679",Nov 13,New Line Cinema
73,The Personal History of David Copperfield,,"$1,876,298","1,550","$1,876,298",Aug 28,Searchlight Pictures
74,The Wretched,,"$1,812,696",101,"$1,814,193",May 1,IFC Films
75,The Lodge,,"$1,724,781",395,"$2,138,907",Feb 7,Neon
76,Joker,,"$1,678,800","4,374","$335,451,311",Oct 4,Warner Bros.
77,The Rental,,"$1,627,911",250,"$1,637,548",Jul 24,IFC Films
78,Once Upon a Time... in Hollywood,,"$1,425,760","3,659","$142,502,728",Jul 26,Sony Pictures Releasing
79,Jurassic Park,2020 Re-release,"$1,386,600",316,"$1,386,600",Jun 19,Universal Pictures
80,2 Hearts,,"$1,349,286","1,683","$1,349,286",Oct 16,Freestyle Releasing
81,Promising Young Woman,,"$1,208,180","1,448","$6,460,965",Dec 25,Focus Features
82,True to the Game 2,,"$1,200,871",281,"$1,200,871",Nov 6,Faith Media Distribution
83,Peninsula,,"$1,140,525",151,"$1,231,407",Aug 7,Well Go USA Entertainment
84,The Assistant,,"$1,100,313",25,"$1,100,313",Jan 31,Bleecker Street Media
85,Love and Monsters,,"$1,070,714",387,"$1,070,714",Oct 16,Paramount Pictures
86,Relic,,"$1,046,653",133,"$1,047,083",Jul 3,IFC Films
87,The Tax Collector,,"$1,044,212",138,"$1,044,212",Aug 7,RLJE Films
88,The Last Shift,,"$1,034,467",886,"$1,034,467",Sep 25,Stage 6 Films
89,Becky,,"$1,020,413",54,"$1,004,574",Jun 5,Quiver Distribution
90,The Song of Names,,"$983,357",182,"$1,077,584",Dec 25,Sony Pictures Classics
91,All My Life,,"$899,585",970,"$913,935",Dec 4,Universal Pictures
92,Mafia Inc,,"$889,863",85,"$889,863",Feb 14,Entertainment One
93,National Lampoon's Christmas Vacation,2020 Re-release,"$871,000",620,"$871,000",Nov 25,Warner Bros.
94,Jay and Silent Bob Reboot,,"$857,744",788,"$4,589,490",Oct 15,Saban Films
95,A Hidden Life,,"$853,047",151,"$1,730,597",Dec 13,-
96,Cut Throat City,,"$845,837",389,"$855,894",Aug 21,Well Go USA Entertainment
97,The Goonies,2020 Re-release,"$825,000",457,"$825,000",Jul 10,Warner Bros.
98,Sarileru Neekevvaru,,"$821,000",300,"$821,000",Jan 10,Great India Films
99,Vanguard,,"$793,525","1,375","$793,525",Nov 20,Gravitas Ventures
100,21 Bridges,,"$792,488","2,665","$28,539,757",Nov 22,STX Entertainment
101,Jaws,2020 Re-release,"$758,300",187,"$758,300",Jun 19,Universal Pictures
102,Possessor,,"$752,885",320,"$752,885",Oct 2,Neon
103,After We Collided,,"$734,210",546,"$2,386,483",Oct 23,Open Road Films (II)
104,Coco,,"$734,000","3,987","$210,460,015",Nov 22,Walt Disney Studios Motion Pictures
105,Toy Story,2020 Re-release,"$727,000","2,102","$727,000",Nov 6,Walt Disney Studios Motion Pictures
106,"Monsters, Inc.",2020 Re-release,"$726,000","1,875","$726,000",Oct 23,Walt Disney Studios Motion Pictures
107,Baaghi 3,,"$721,439",265,"$721,439",Mar 6,FIP
108,The Santa Clause,2020 Re-release,"$706,000","1,581","$706,000",Nov 20,Walt Disney Studios Motion Pictures
109,Patterns of Evidence: The Red Sea Miracle,,"$696,191",807,"$696,191",Feb 18,Fathom Events
110,Pain and Glory,,"$693,609",266,"$4,567,338",Oct 4,Sony Pictures Classics
111,The Polar Express,2020 Re-release,"$691,000",450,"$711,000",Dec 4,Warner Bros.
112,The Last Vermeer,,"$685,380",912,"$685,380",Nov 20,TriStar Pictures
113,The Addams Family,2020 Re-release,"$678,926","1,307","$678,926",Oct 23,United Artists Releasing
114,Merci pour tout,,"$636,925",76,"$1,073,969",Dec 25,-
115,Maleficent: Mistress of Evil,,"$634,868","3,820","$113,929,605",Oct 18,Walt Disney Studios Motion Pictures
116,Ghostbusters,2020 Re-release,"$605,000",622,"$605,000",Jul 3,Columbia Pictures
117,Chhapaak,,"$604,334",100,"$604,334",Jan 10,FIP
118,Shortcut,,"$588,869",704,"$588,869",Sep 25,Gravitas Ventures
119,Panga,,"$582,720",102,"$582,720",Jan 24,FIP
120,Midway,,"$567,638","3,242","$56,846,802",Nov 8,Lionsgate Films
121,Black Christmas,,"$562,060","2,625","$10,429,730",Dec 13,Universal Pictures
122,Synchronic,,"$542,753",327,"$636,673",Oct 23,Well Go USA Entertainment
123,Guardians of the Galaxy,2020 Re-release,"$542,000","1,560","$542,000",Nov 13,Walt Disney Studios Motion Pictures
124,Color Out of Space,,"$541,918",81,"$765,561",Jan 24,RLJE Films
125,Followed,,"$538,179",100,"$538,179",Jun 19,Global View Entertainment
126,Alone,,"$537,589",173,"$537,589",Sep 18,Magnolia Pictures
127,Harriet,,"$534,455","2,186","$43,082,155",Nov 1,Focus Features
128,Kajillionaire,,"$531,430",547,"$531,430",Sep 25,Focus Features
129,The Addams Family,,"$528,320","4,107","$100,044,905",Oct 11,United Artists Releasing
130,100% Wolf,,"$514,957",124,"$658,764",Oct 9,Viva Pictures
131,The Big Ugly,,"$514,107",68,"$514,107",Jul 24,Vertical Entertainment
132,The Call,,"$505,746",195,"$516,521",Oct 2,Atlas Distribution Company
133,The Grinch,2020 Re-release,"$502,781",450,"$473,781",Nov 27,Universal Pictures
134,Dark Waters,,"$502,205","2,112","$11,136,084",Nov 22,Focus Features
135,The Forgotten Carols,,"$500,692",70,"$502,252",Nov 20,Purdie Distribution
136,Spell,,"$500,104",369,"$500,104",Oct 30,Paramount Pictures
137,Ava,,"$497,747",252,"$497,747",Sep 25,Vertical Entertainment
138,Pinocchio,,"$488,838",824,"$1,831,718",Dec 25,Roadside Attractions
139,Beauty and the Beast,2020 Re-release,"$467,000",527,"$467,000",Jul 17,Walt Disney Pictures
140,Inside Out,2020 Re-release,"$460,000",442,"$460,000",Jul 10,Walt Disney Pictures
141,Once Were Brothers,,"$449,561",152,"$449,561",Feb 21,Magnolia Pictures
142,Seberg,,"$434,702",373,"$434,702",Feb 21,Amazon Studios
143,Iron Man,2020 Re-release,"$430,000",462,"$430,000",Jul 17,Walt Disney Pictures
144,Fantastic Fungi,,"$429,446",37,"$1,788,322",Sep 20,Area 23a
145,Infamous,,"$429,148",58,"$429,148",Jun 12,Vertical Entertainment
146,Tulsa,,"$413,383",192,"$413,378",Aug 21,Pryor Entertainment
147,Stevie Nicks 24 Karat Gold the Concert,,"$410,265",413,"$410,265",Oct 21,Trafalgar Releasing
148,Buddy Games,,"$405,904",401,"$405,904",Nov 20,Paramount Pictures
149,Black Panther,2020 Re-release,"$367,000",421,"$367,000",Jul 10,Walt Disney Pictures
150,The Kid Detective,,"$364,138",865,"$364,138",Oct 16,Stage 6 Films
151,She Dies Tomorrow,,"$361,329",24,"$398,663",Jul 31,Neon
152,Greed,,"$355,308",596,"$355,308",Feb 28,Sony Pictures Classics
153,Yellow Rose,,"$348,011",900,"$367,849",Oct 9,Stage 6 Films
154,Ride Your Wave,,"$332,432",605,"$332,432",Feb 19,Fathom Events
155,The Eight Hundred,,"$331,279",142,"$372,755",Aug 28,CMC Pictures
156,Les Misérables,,"$330,181",69,"$330,181",Jan 10,Amazon Studios
157,Die Hard,2020 Re-release,"$325,000","1,172","$325,000",Dec 4,Walt Disney Studios Motion Pictures
158,Clemency,,"$323,980",127,"$364,716",Dec 27,Neon
159,Ordinary Love,,"$323,688",22,"$323,688",Feb 14,Bleecker Street Media
160,The Informer,,"$300,460",283,"$300,460",Nov 6,Vertical Entertainment
161,Playing with Fire,,"$300,460","3,185","$44,451,847",Nov 8,Paramount Pictures
162,Save Yourselves!,,"$299,914",388,"$301,162",Oct 2,Bleecker Street Media
163,Judy,,"$296,343","1,627","$24,313,888",Sep 27,Roadside Attractions
164,The Traitor,,"$296,027",45,"$296,027",Jan 31,Sony Pictures Classics
165,Gremlins,2020 Re-release,"$295,000",64,"$295,000",Jul 10,-
166,How the Grinch Stole Christmas,2020 Re-release,"$294,000",300,"$420,180",Dec 4,Universal Pictures
167,Mystify: Michael Hutchence,,"$289,573",597,"$289,573",Jan 7,Fathom Events
