rank,title,re_release,gross,num_theaters,total_gross,date,distributor
39,PAW Patrol: The Mighty Movie,,"$65,231,360","4,027","$65,231,360",Sep 29 2023,Paramount Pictures
40,Cocaine Bear,,"$64,670,240","3,571","$64,670,240",Feb 24 2023,Universal Pictures
41,A Man Called Otto,,"$64,228,358","3,957","$64,267,657",Dec 30 2023,Columbia Pictures
42,Wish,,"$60,609,147","3,900","$63,973,821",Nov 22 2023,Walt Disney Studios Motion Pictures
43,Napoleon,,"$60,512,228","3,500","$61,524,375",Nov 22 2023,Columbia Pictures
44,Shazam! Fury of the Gods,,"$57,638,006","4,071","$57,638,006",Mar 17 2023,Warner Bros.
45,Migration,,"$54,103,955","3,839","$127,306,285",Dec 22 2023,Universal Pictures
46,Saw X,,"$53,607,898","3,262","$53,607,898",Sep 29 2023,Lionsgate Films
47,Air,,"$52,460,106","3,507","$52,460,106",Apr 5 2023,-
48,Jesus Revolution,,"$52,102,987","2,575","$52,102,987",Feb 24 2023,Lionsgate Films
49,No Hard Feelings,,"$50,452,282","3,208","$50,452,282",Jun 23 2023,Sony Pictures Releasing
50,Talk to Me,,"$48,299,436","2,379","$48,299,436",Jul 28 2023,A24
51,Godzilla Minus One,,"$45,580,412","2,622","$56,418,793",Dec 1 2023,-
52,Gran Turismo,,"$44,428,554","3,856","$44,428,554",Aug 25 2023,Sony Pictures Releasing
53,The Color Purple,,"$44,047,642","3,218","$60,619,191",Dec 25 2023,Warner Bros.
54,The Boogeyman,,"$43,244,282","3,205","$43,244,282",Jun 2 2023,Walt Disney Studios Motion Pictures
55,A Haunting in Venice,,"$42,471,412","3,305","$42,471,412",Sep 15 2023,Walt Disney Studios Motion Pictures
56,The Creator,,"$40,774,679","3,680","$40,774,679",Sep 29 2023,Walt Disney Studios Motion Pictures
57,80 for Brady,,"$39,330,588","3,939","$39,330,588",Feb 3 2023,Paramount Pictures
58,The Boy and the Heron,,"$35,846,555","2,325","$46,830,188",Dec 8 2023,GKIDS
59,Knock at the Cabin,,"$35,397,980","3,657","$35,397,980",Feb 3 2023,Universal Pictures
60,Renaissance: A Film by Beyoncé,,"$33,223,373","2,542","$33,889,684",Dec 1 2023,-
61,Missing,,"$32,502,025","3,025","$32,502,025",Jan 20 2023,Sony Pictures Releasing
62,Plane,,"$32,111,181","3,060","$32,111,181",Jan 13 2023,Lionsgate Films
63,65,,"$32,062,904","3,405","$32,062,904",Mar 10 2023,Sony Pictures Releasing
64,Thanksgiving,,"$31,800,773","3,204","$31,908,884",Nov 17 2023,TriStar Pictures
65,My Big Fat Greek Wedding 3,,"$28,496,030","3,678","$28,496,030",Sep 8 2023,Focus Features
66,Asteroid City,,"$28,153,025","1,901","$28,153,025",Jun 16 2023,Focus Features
67,Magic Mike's Last Dance,,"$26,005,156","3,034","$26,005,156",Feb 10 2023,Warner Bros.
68,Anyone But You,,"$24,837,385","3,055","$88,319,668",Dec 22 2023,Columbia Pictures
69,Strays,,"$23,988,885","3,232","$23,988,885",Aug 18 2023,Universal Pictures
70,The Boys in the Boat,,"$21,998,472","2,687","$52,641,306",Dec 25 2023,-
71,Priscilla,,"$20,900,492","2,361","$20,960,939",Oct 27 2023,A24
72,"Are You There God? It's Me, Margaret.",,"$20,372,406","3,343","$20,372,406",Apr 28 2023,Lionsgate Films
73,The Pope's Exorcist,,"$20,009,380","3,178","$20,009,380",Apr 14 2023,Screen Gems
74,The Holdovers,,"$18,208,655","1,601","$20,355,375",Oct 27 2023,Focus Features
75,The Blackening,,"$17,707,207","1,775","$17,707,207",Jun 16 2023,Lionsgate Films
76,Book Club: The Next Chapter,,"$17,581,565","3,513","$17,581,565",May 12 2023,Focus Features
77,Pathaan,,"$17,487,476",697,"$17,487,476",Jan 25 2023,Yash Raj Films USA Inc.
78,Black Panther: Wakanda Forever,,"$17,329,414","4,396","$453,829,060",Nov 11 2023,Walt Disney Studios Motion Pictures
79,Renfield,,"$17,297,895","3,378","$17,297,895",Apr 14 2023,Universal Pictures
80,The Blind,,"$17,265,487","1,715","$17,265,487",Sep 28 2023,Fathom Events
81,Guy Ritchie's the Covenant,,"$16,938,039","2,631","$16,938,039",Apr 21 2023,Metro-Goldwyn-Mayer (MGM)
82,The Expendables 4,,"$16,710,153","3,518","$16,710,153",Sep 22 2023,Lionsgate Films
83,Champions,,"$16,397,335","3,039","$16,397,335",Mar 10 2023,Focus Features
84,The Iron Claw,,"$15,964,922","2,794","$35,070,296",Dec 22 2023,A24
85,Ruby Gillman: Teenage Kraken,,"$15,753,600","3,408","$15,753,600",Jun 30 2023,DreamWorks
86,Jawan,,"$15,198,530",826,"$15,198,530",Sep 7 2023,Yash Raj Films USA Inc.
87,Titanic,25 Year Anniversary,"$15,033,795","2,464","$15,033,795",Feb 10 2023,Paramount Pictures
88,Animal,,"$14,772,820",698,"$15,004,482",Dec 1 2023,-
89,Dumb Money,,"$13,925,356","2,837","$13,925,356",Sep 15 2023,Sony Pictures Releasing
90,The Last Voyage of the Demeter,,"$13,637,180","2,715","$13,637,180",Aug 11 2023,Universal Pictures
91,Joy Ride,,"$12,897,789","2,820","$12,897,789",Jul 7 2023,Lionsgate Films
92,His Only Son,,"$12,392,740","1,930","$12,392,740",Mar 31 2023,Angel Studios
93,The Whale,,"$12,269,350","1,721","$17,463,630",Dec 9 2023,A24
94,About My Father,,"$12,089,391","2,464","$12,089,391",May 26 2023,Lionsgate Films
95,Bottoms,,"$12,036,071","1,265","$12,036,071",Aug 25 2023,Orion Pictures
96,The Shift,,"$11,925,234","2,450","$12,118,219",Dec 1 2023,Angel Studios
97,After Death,,"$11,477,621","2,730","$11,478,326",Oct 27 2023,Angel Studios
98,Saltburn,,"$11,256,512","1,566","$11,425,829",Nov 17 2023,Warner Bros.
99,Past Lives,,"$11,031,696",906,"$11,185,625",Jun 2 2023,A24
100,Suzume,,"$10,932,037","2,170","$10,932,037",Apr 14 2023,Crunchyroll
101,Ferrari,,"$10,778,480","2,386","$18,550,028",Dec 25 2023,Neon
102,The Machine,,"$10,458,331","2,409","$10,458,331",May 26 2023,Sony Pictures Releasing
103,Whitney Houston: I Wanna Dance with Somebody,,"$10,451,167","3,625","$23,708,080",Dec 23 2023,TriStar Pictures
104,Poor Things,,"$10,269,036","2,300","$34,553,225",Dec 8 2023,Searchlight Pictures
105,The Nightmare Before Christmas,30th Anniversary Re-Release,"$10,251,956","2,185","$10,251,956",Oct 20 2023,Walt Disney Studios Motion Pictures
106,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,,"$10,117,806","1,774","$10,117,806",Mar 3 2023,Crunchyroll
107,House Party,,"$9,002,247","1,400","$9,002,247",Jan 13 2023,Warner Bros.
108,Radical,,"$8,636,299",534,"$8,702,731",Nov 3 2023,Pantelion Films
109,Everything Everywhere All at Once,,"$8,410,284","2,220","$77,191,785",Mar 25 2023,A24
110,Salaar,,"$8,268,997",802,"$8,929,282",Dec 22 2023,-
111,Silent Night,,"$7,996,185","1,873","$8,012,103",Dec 1 2023,Lionsgate Films
112,Beau Is Afraid,,"$7,740,323","2,125","$8,176,562",Apr 14 2023,A24
113,The Hill,,"$7,665,865","1,703","$7,665,865",Aug 25 2023,Briarcliff Entertainment
114,Sisu,,"$7,265,622","1,006","$7,265,622",Apr 28 2023,Lionsgate Films
115,Star Wars: Episode VI - Return of the Jedi,2023 Re-release,"$7,259,924",475,"$7,259,924",Apr 28 2023,-
116,Dunki,,"$7,160,815",650,"$7,460,159",Dec 21 2023,Yash Raj Films USA Inc.
117,Coraline,2023 Re-release (remastered),"$7,149,366","1,469","$7,149,366",Aug 14 2023,-
118,Retribution,,"$6,937,696","1,750","$6,937,696",Aug 25 2023,Roadside Attractions
119,Journey to Bethlehem,,"$6,816,475","2,002","$6,820,796",Nov 10 2023,Affirm Films
120,Next Goal Wins,,"$6,713,826","2,240","$6,713,826",Nov 17 2023,Searchlight Pictures
121,Operation Fortune: Ruse de Guerre,,"$6,496,125","2,168","$6,496,125",Mar 3 2023,Lionsgate Films
122,BTS: Yet to Come in Cinemas,,"$6,350,496","1,210","$8,093,270",Feb 1 2023,Trafalgar Releasing
123,Babylon,,"$6,268,558","3,351","$15,351,455",Dec 23 2023,Paramount Pictures
124,Love Again,,"$6,230,837","2,703","$6,230,837",May 5 2023,Screen Gems
125,Dream Scenario,,"$5,615,011","1,578","$5,742,193",Nov 10 2023,A24
126,The Fabelmans,,"$5,541,550","1,962","$17,348,945",Nov 11 2023,Universal Pictures
127,The Chosen Season 3 Finale,,"$5,525,069","1,979","$5,525,069",Feb 2 2023,Fathom Events
128,Nefarious,,"$5,433,685",933,"$5,433,685",Apr 14 2023,Soli Deo Gloria Releasing
129,Big George Foreman,,"$5,426,772","3,054","$5,426,772",Apr 28 2023,Sony Pictures Releasing
130,Waitress: The Musical,,"$5,402,148","1,214","$5,402,148",Dec 7 2023,Bleecker Street Media
131,Tiger 3,,"$5,365,263",779,"$5,365,263",Nov 11 2023,Yash Raj Films USA Inc.
132,Women Talking,,"$5,321,627",707,"$5,456,531",Dec 23 2023,United Artists Releasing
133,Freelance,,"$5,314,136","2,057","$5,314,136",Oct 27 2023,Relativity Media
134,Infinity Pool,,"$5,078,400","1,835","$5,078,400",Jan 27 2023,Neon
135,Hocus Pocus,30th Anniversary re-release,"$4,929,004","1,430","$4,929,004",Oct 6 2023,Walt Disney Studios Motion Pictures
136,You Hurt My Feelings,,"$4,830,788",912,"$4,830,788",May 26 2023,A24
137,Kandahar,,"$4,813,132","2,105","$4,813,132",May 26 2023,Open Road Films (II)
138,Golda,,"$4,801,781",883,"$4,801,781",Aug 25 2023,Bleecker Street Media
139,It Lives Inside,,"$4,675,092","2,005","$4,675,092",Sep 22 2023,Neon
140,Hypnotic,,"$4,500,169","2,118","$4,500,169",May 12 2023,Ketchup Entertainment
141,Stop Making Sense,2023  Re-release,"$4,481,445",786,"$5,211,310",Sep 22 2023,-
142,Marlowe,,"$4,350,243","2,281","$4,350,243",Feb 15 2023,Open Road Films (II)
143,The Amazing Maurice,,"$4,303,645","1,717","$4,303,645",Feb 3 2023,Viva Pictures
144,Mummies,,"$4,275,970",384,"$4,275,970",Feb 24 2023,Warner Bros.
145,Theater Camp,,"$4,009,945",555,"$4,009,945",Jul 14 2023,Searchlight Pictures
146,Ponniyin Selvan: Part Two,,"$3,813,000",-,"$3,813,000",Apr 28 2023,-
147,Anatomy of a Fall,,"$3,742,039",583,"$5,076,369",Oct 13 2023,-
148,Left Behind: Rise of the Antichrist,,"$3,649,422","1,407","$3,649,422",Jan 26 2023,Fathom Events
149,The Journey: A Music Special from Andrea Bocelli,,"$3,574,915","1,074","$3,574,915",Apr 2 2023,Fathom Events
150,Chevalier,,"$3,541,159","1,281","$3,541,159",Apr 21 2023,Walt Disney Studios Motion Pictures
151,Mafia Mamma,,"$3,496,761","2,002","$3,496,761",Apr 14 2023,Bleecker Street Media
152,The Wandering Earth II,,"$3,444,487",172,"$5,023,132",Jan 22 2023,Well Go USA Entertainment
153,A Thousand and One,,"$3,400,020",926,"$3,400,020",Mar 31 2023,Focus Features
154,Violent Night,,"$3,278,955","3,723","$50,057,405",Dec 2 2023,Universal Pictures
155,What Happens Later,,"$3,273,895","1,492","$3,273,895",Nov 3 2023,Bleecker Street Media
156,2023 Oscar Nominated Short Films: Live Action,,"$3,025,631",357,"$3,025,631",Feb 17 2023,ShortsTV
157,Living,,"$2,984,305",644,"$3,038,113",Dec 23 2023,Sony Pictures Classics
158,Jurassic Park,2023 Re-release (30th Anniversary),"$2,970,355","1,224","$2,970,355",Aug 25 2023,Universal Pictures
159,The Menu,,"$2,779,574","3,228","$38,501,125",Nov 18 2023,Searchlight Pictures
160,Tu Jhoothi Main Makkaar,,"$2,503,604",400,"$2,503,604",Mar 8 2023,Yash Raj Films USA Inc.
161,Come Out in Jesus Name,,"$2,500,574","1,047","$2,500,574",Mar 13 2023,Fathom Events
162,The Miracle Club,,"$2,377,438",677,"$2,402,780",Jul 14 2023,Sony Pictures Releasing
163,A Good Person,,"$2,210,465",687,"$2,210,465",Mar 24 2023,United Artists Releasing
164,Moving On,,"$2,136,832",794,"$2,136,832",Mar 17 2023,Roadside Attractions
165,Skinamarink,,"$2,052,272",809,"$2,052,272",Jan 13 2023,IFC Films
166,Die Hard,2023 Re-release,"$2,048,453","1,355","$2,048,453",Dec 8 2023,Twenty First Century Entertainment
167,Jules,,"$1,924,922",780,"$1,924,922",Aug 11 2023,Bleecker Street Media
168,Somewhere in Queens,,"$1,802,442",602,"$1,802,442",Apr 21 2023,Roadside Attractions
169,The Marsh King's Daughter,,"$1,792,905","1,055","$1,792,905",Nov 3 2023,Lionsgate Films
170,Oldboy,2023 Re-release,"$1,750,719",250,"$1,750,719",Aug 16 2023,-
171,Winnie-the-Pooh: Blood and Honey,,"$1,750,639","1,652","$1,750,639",Feb 15 2023,Fathom Events
172,Fear,,"$1,735,359",974,"$2,090,261",Jan 27 2023,Hidden Empire Film Group (HEFG)
173,Lost in the Stars,,"$1,721,446",-,"$1,721,446",Jul 7 2023,CMC Pictures
174,Creation of the Gods I: Kingdom of Storms,,"$1,686,246",115,"$1,706,355",Sep 22 2023,Well Go USA Entertainment
175,American Fiction,,"$1,655,483","1,902","$21,098,470",Dec 15 2023,Metro-Goldwyn-Mayer (MGM)
176,The Retirement Plan,,"$1,607,344",-,"$1,607,344",Sep 15 2023,-
177,Polite Society,,"$1,595,585",927,"$1,595,585",Apr 28 2023,Focus Features
178,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,,"$1,588,491","1,473","$1,588,491",Jan 20 2023,Crunchyroll
179,The Banshees of Inisherin,,"$1,555,301","1,205","$10,582,266",Oct 21 2023,Searchlight Pictures
180,The Quiet Girl,,"$1,500,014",244,"$1,500,014",Feb 24 2023,Neon
181,BlackBerry,,"$1,476,598",449,"$1,476,597",May 12 2023,IFC Films
182,Spirited Away,2023 Re-release (Live on Stage),"$1,455,081","1,046","$1,455,081",Apr 23 2023,Fathom Events
183,Dicks: The Musical,,"$1,453,012",635,"$1,453,012",Oct 6 2023,A24
184,Eileen,,"$1,425,273",558,"$1,435,007",Dec 1 2023,-
185,Maybe I Do,,"$1,293,722",465,"$1,293,722",Jan 27 2023,Vertical Entertainment
186,The First Slam Dunk,,"$1,291,869",581,"$1,291,869",Jul 28 2023,GKIDS
187,Billie Eilish Live at the O2,,"$1,290,000",600,"$1,290,000",Jan 27 2023,Trafalgar Releasing
188,The Big Lebowski,,"$1,266,945","1,235","$18,718,818",Mar 6 2023,Gramercy Pictures (I)
189,Back to the Future,,"$1,240,710","1,550","$211,850,472",Jul 3 2023,Universal Pictures
190,Tár,,"$1,193,875","1,090","$6,773,650",Oct 7 2023,Focus Features
191,The Lost King,,"$1,189,307",753,"$1,188,032",Mar 24 2023,IFC Films
192,The Lord of the Rings: The Return of the King,2023 Re-release (20th Anniversary),"$1,176,085","1,107","$1,176,085",Apr 13 2023,Fathom Events
193,Camp Hideout,,"$1,125,010",848,"$1,125,010",Sep 15 2023,Roadside Attractions
194,Strange World,,"$1,120,039","4,174","$37,968,963",Nov 23 2023,Walt Disney Studios Motion Pictures
195,Close,,"$1,100,113",233,"$1,100,113",Jan 27 2023,A24
196,Emily,,"$1,097,067",579,"$1,097,067",Feb 17 2023,Bleecker Street Media
197,Knights of the Zodiac,,"$1,090,155",588,"$1,090,155",May 12 2023,-
198,Broker,,"$1,001,892",271,"$1,046,899",Dec 23 2023,Neon
199,Showing Up,,"$972,074",115,"$754,483",Apr 7 2023,A24
200,Inside,,"$918,415",357,"$918,415",Mar 17 2023,Focus Features
